Year,GDP_Billion,Internet_Users,UPI_Billion,Smartphone_Million,Literacy_Rate
2016,2290.0,27.0,0.02,300.0,74.0
2017,2650.0,34.0,0.92,340.0,74.5
2018,2700.0,38.0,5.35,390.0,75.0
2019,2870.0,42.0,12.5,450.0,75.5
2020,2660.0,50.0,22.3,500.0,76.0
2021,3170.0,55.0,39.1,600.0,76.4
2022,3380.0,60.0,74.0,700.0,77.0
2023,3560.0,65.0,118.0,780.0,77.5
2024,3900.0,70.0,140.0,850.0,78.0
2025,4200.0,75.0,160.0,900.0,79.0
